"Downloaded on SAT, 10 SEP 2016 08:05 +0200 from ILOSTAT",,,,,,,,,,
,,,,,,,,,,
Dataset:,Annual indicators,,,,,,,,,
Indicator:,Employment by sex and weekly hours actually worked,,,,,,,,,
Description:," The employed comprise all persons of working age who, during a specified brief period, were in one of the following categories: a) paid employment (whether at work or with a job but not at work); or b) self-employment (whether at work or with an enterprise but not at work). Data are disaggregated by weekly hours actually worked, on the basis of the mean number of hours of work per week, and with reference to hours worked in all jobs of employed persons and in all types of working time arrangements (e.g. full-time and part-time). Hours actually worked include (a) &quot;direct hours&quot; or the time spent carrying out the tasks and duties of a job, (b) &quot;related hours&quot;, or the time spent maintaining, facilitating or enhancing productive activities (c) &quot;down time&quot;, or time when a person in a job cannot work due to machinery or process breakdown, accident, lack of supplies or power or Internet access and (d) &quot;resting time&quot;, or time spent in short periods of rest, relief or refreshment, including tea, coffee or prayer breaks, generally practised by custom or contract according to established norms and/or national circumstances. Hours actually worked excludes time not worked during activities such as: (a) Annual leave, public holidays, sick leave, parental leave or maternity/paternity leave, other leave for personal or family reasons or civic duty, (b) Commuting time between work and home when no productive activity for the job is performed; for paid employment, even when paid by the employer; (c) Time spent in certain educational activities; for paid employment, even when authorized, paid or provided by the employer; (d) Longer breaks distinguished from short resting time when no productive activity is performed (such as meal breaks or natural repose during long trips); for paid employment, even when paid by the employer.",,,,,,,,,
,,,,,,,,,,
Country,Sex,Hour bands,Source,Series footnotes,2015,,,,,
Albania,Total (Sex),Total (Hour bands),LFS - Labour Force Survey,,1086.6,,,,,
Albania,Total (Sex),No hours actually worked (Hour bands),LFS - Labour Force Survey,,27.1,,,,,
Albania,Total (Sex),01-14 (Hour bands),LFS - Labour Force Survey,,40.7,,,,,
Albania,Total (Sex),15-29 (Hour bands),LFS - Labour Force Survey,,170.3,,,,,
Albania,Total (Sex),30-34 (Hour bands),LFS - Labour Force Survey,,91.8,,,,,
Albania,Total (Sex),35-39 (Hour bands),LFS - Labour Force Survey,,46.7,,,,,
Albania,Total (Sex),40-48 (Hour bands),LFS - Labour Force Survey,,508.5,,,,,
Albania,Total (Sex),49+ (Hour bands),LFS - Labour Force Survey,,181.1,,,,,
Albania,Total (Sex),Not elsewhere classified (Hour bands),LFS - Labour Force Survey,,20.4,,,,,
Armenia,Total (Sex),Total (Hour bands),LFS - Household Labour Force Survey ,,1072.6,,,,,
Armenia,Total (Sex),No hours actually worked (Hour bands),LFS - Household Labour Force Survey ,,64.9,,,,,
Armenia,Total (Sex),01-14 (Hour bands),LFS - Household Labour Force Survey ,,71.5,,,,,
Armenia,Total (Sex),15-29 (Hour bands),LFS - Household Labour Force Survey ,,202.2,,,,,
Armenia,Total (Sex),30-34 (Hour bands),LFS - Household Labour Force Survey ,,63,,,,,
Armenia,Total (Sex),35-39 (Hour bands),LFS - Household Labour Force Survey ,,48.5,,,,,
Armenia,Total (Sex),40-48 (Hour bands),LFS - Household Labour Force Survey ,,479.7,,,,,
Armenia,Total (Sex),49+ (Hour bands),LFS - Household Labour Force Survey ,,143,,,,,
Austria,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,4148.3,,,,,
Austria,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,512.9,,,,,
Austria,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,326.2,,,,,
Austria,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,626.2,,,,,
Austria,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,388.4,,,,,
Austria,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,656.3,,,,,
Austria,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,1221,,,,,
Austria,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,417.2,,,,,
Belarus,Total (Sex),Total (Hour bands),OE - Labour resources estimates,,4.5,,,,,
Belgium,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,4551.6,,,,,
Belgium,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,491,,,,,
Belgium,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,148.8,,,,,
Belgium,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,718.1,,,,,
Belgium,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,475.2,,,,,
Belgium,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,1350.4,,,,,
Belgium,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,805.5,,,,,
Belgium,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,527.5,,,,,
Belgium,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,35.1,,,,,
Belize,Total (Sex),Total (Hour bands),LFS - Labour force survey,,137.5,,,,,
Belize,Total (Sex),No hours actually worked (Hour bands),LFS - Labour force survey,,5.5,,,,,
Belize,Total (Sex),01-14 (Hour bands),LFS - Labour force survey,,4.5,,,,,
Belize,Total (Sex),15-29 (Hour bands),LFS - Labour force survey,,9.6,,,,,
Belize,Total (Sex),30-34 (Hour bands),LFS - Labour force survey,,6.5,,,,,
Belize,Total (Sex),35-39 (Hour bands),LFS - Labour force survey,,10.4,,,,,
Belize,Total (Sex),40-48 (Hour bands),LFS - Labour force survey,,58.5,,,,,
Belize,Total (Sex),49+ (Hour bands),LFS - Labour force survey,,34,,,,,
Belize,Total (Sex),Not elsewhere classified (Hour bands),LFS - Labour force survey,,8.6,,,,,
Bhutan,Total (Sex),Total (Hour bands),LFS - Labour Force Survey Report,,344.3,,,,,
Bhutan,Total (Sex),No hours actually worked (Hour bands),LFS - Labour Force Survey Report,,0.4,,,,,
Bhutan,Total (Sex),01-14 (Hour bands),LFS - Labour Force Survey Report,,2.1,,,,,
Bhutan,Total (Sex),15-29 (Hour bands),LFS - Labour Force Survey Report,,14.4,,,,,
Bhutan,Total (Sex),30-34 (Hour bands),LFS - Labour Force Survey Report,,10.4,,,,,
Bhutan,Total (Sex),35-39 (Hour bands),LFS - Labour Force Survey Report,,36.1,,,,,
Bhutan,Total (Sex),40-48 (Hour bands),LFS - Labour Force Survey Report,,102,,,,,
Bhutan,Total (Sex),49+ (Hour bands),LFS - Labour Force Survey Report,,179,,,,,
Bulgaria,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,3031.9,,,,,
Bulgaria,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,78.8,,,,,
Bulgaria,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,9.7,,,,,
Bulgaria,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,132.8,,,,,
Bulgaria,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,109.8,,,,,
Bulgaria,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,23.9,,,,,
Bulgaria,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,2418.7,,,,,
Bulgaria,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,63.3,,,,,
Bulgaria,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,194.9,,,,,
Canada,Total (Sex),Total (Hour bands),LFS - Labour Force Survey,,17946.4,,,,,
Canada,Total (Sex),No hours actually worked (Hour bands),LFS - Labour Force Survey,,1487.4,,,,,
Canada,Total (Sex),01-14 (Hour bands),LFS - Labour Force Survey,,1204.2,,,,,
Canada,Total (Sex),15-29 (Hour bands),LFS - Labour Force Survey,,2608,,,,,
